Data,Open,Low,High,Close,Qtd,Volume
2008-01-02, 43.50 , 42.96 , 43.87 , 43.50 ,163290,708935438
2008-01-03, 43.35 , 42.80 , 43.63 , 42.80 ,147442,635842743
2008-01-04, 42.83 , 40.45 , 43.18 , 40.70 ,257444,1062002936
2008-01-07, 40.73 , 39.31 , 40.85 , 39.51 ,207912,830427664
2008-01-08, 40.15 , 40.13 , 42.31 , 41.68 ,221048,910033819
2008-01-09, 41.55 , 41.13 , 42.46 , 42.46 ,244430,1017977512
2008-01-10, 42.49 , 41.18 , 42.74 , 42.05 ,235400,987380549
2008-01-11, 41.61 , 40.78 , 42.14 , 40.78 ,159140,661503323
2008-01-14, 41.06 , 40.20 , 41.20 , 40.55 ,149474,608645040
2008-01-15, 40.00 , 38.60 , 40.19 , 38.76 ,245390,963423223
2008-01-16, 38.13 , 36.58 , 38.85 , 37.30 ,340836,1282664848
2008-01-17, 37.30 , 35.26 , 37.80 , 35.43 ,338136,1226770033
2008-01-18, 36.20 , 34.58 , 36.58 , 35.90 ,264536,943477115
2008-01-21, 33.85 , 33.10 , 34.05 , 33.24 ,270966,910260975
2008-01-22, 34.25 , 33.65 , 36.61 , 36.48 ,397352,1406596567
2008-01-23, 35.72 , 34.36 , 36.05 , 35.86 ,279436,989706505
2008-01-24, 37.25 , 36.58 , 38.48 , 38.37 ,270574,1021141722
2008-01-28, 37.51 , 37.51 , 40.44 , 40.44 ,285716,1119165103
2008-01-29, 40.83 , 39.81 , 41.20 , 40.40 ,239254,967559282
2008-01-30, 39.90 , 39.78 , 41.32 , 41.32 ,174650,705000372
2008-01-31, 40.05 , 39.16 , 40.25 , 40.20 ,341620,1358794307
2008-02-01, 41.23 , 39.90 , 41.25 , 40.85 ,205690,837809255
2008-02-06, 39.48 , 39.20 , 39.84 , 39.40 ,143562,566950141
2008-02-07, 39.36 , 39.18 , 41.05 , 40.63 ,263022,1064338824
2008-02-08, 40.65 , 40.48 , 41.35 , 40.90 ,231242,945638270
2008-02-11, 41.30 , 41.04 , 41.94 , 41.59 ,198674,824898547
2008-02-12, 42.20 , 41.60 , 42.57 , 41.67 ,278550,1171504166
2008-02-13, 41.90 , 41.61 , 42.48 , 42.28 ,246186,1034133908
2008-02-14, 42.65 , 41.68 , 42.81 , 41.77 ,178534,754578805
2008-02-15, 41.42 , 40.99 , 41.72 , 41.40 ,136026,562546648
2008-02-18, 42.15 , 41.76 , 42.48 , 42.48 ,164882,693934557
2008-02-19, 42.76 , 42.41 , 43.20 , 42.65 ,220300,944819621
2008-02-20, 42.16 , 42.16 , 43.00 , 42.75 ,247154,1052738106
2008-02-21, 43.15 , 41.98 , 43.15 , 42.01 ,197912,839711383
2008-02-22, 42.40 , 41.23 , 42.46 , 42.15 ,150616,629081550
2008-02-25, 42.00 , 41.53 , 42.20 , 42.13 ,124914,523384975
2008-02-26, 41.88 , 41.45 , 42.74 , 42.20 ,274988,1161164327
2008-02-27, 42.00 , 41.80 , 43.17 , 42.85 ,282318,1204853016
2008-02-28, 43.00 , 42.63 , 43.23 , 43.08 ,135412,582118487
2008-02-29, 42.50 , 40.73 , 42.75 , 40.73 ,221092,918124466
2008-03-03, 40.90 , 39.65 , 41.35 , 40.45 ,246200,997915373
2008-03-04, 39.92 , 38.91 , 40.25 , 39.33 ,292500,1155996354
2008-03-05, 39.81 , 39.46 , 40.59 , 40.30 ,229564,920464249
2008-03-06, 40.25 , 39.51 , 40.73 , 39.51 ,208126,835901912
2008-03-07, 39.06 , 38.65 , 39.75 , 39.08 ,223608,876812945
2008-03-10, 39.09 , 38.29 , 39.45 , 38.35 ,170310,660642847
2008-03-11, 39.42 , 38.56 , 39.89 , 39.86 ,177548,697296033
2008-03-12, 39.95 , 39.45 , 40.25 , 39.66 ,157468,627105736
2008-03-13, 39.00 , 38.25 , 39.25 , 39.14 ,250878,971792751
2008-03-14, 39.50 , 38.00 , 39.55 , 38.37 ,226692,872142118
2008-03-17, 37.05 , 36.33 , 37.51 , 36.92 ,331816,1225510308
2008-03-18, 37.51 , 36.91 , 37.78 , 37.48 ,222374,833286387
2008-03-19, 37.45 , 34.70 , 37.81 , 34.70 ,360282,1292480494
2008-03-20, 34.35 , 33.75 , 34.90 , 34.70 ,229900,792323740
2008-03-24, 34.95 , 34.68 , 35.91 , 35.00 ,218014,768665566
2008-03-25, 35.75 , 35.30 , 37.00 , 36.85 ,245306,893645363
2008-03-26, 37.10 , 36.33 , 37.77 , 37.45 ,195976,726384891
2008-03-27, 37.62 , 36.35 , 37.92 , 36.56 ,126006,468053546
2008-03-28, 36.65 , 36.13 , 37.01 , 36.31 ,159224,582577234
2008-03-31, 36.80 , 36.10 , 37.25 , 37.00 ,162412,596614757
2008-04-01, 37.50 , 36.76 , 37.88 , 37.88 ,216610,810052331
2008-04-02, 37.98 , 37.75 , 39.15 , 38.89 ,245298,947564474
2008-04-03, 38.73 , 38.51 , 40.05 , 39.35 ,232570,918776217
2008-04-04, 39.45 , 39.28 , 40.14 , 39.50 ,220710,877673850
2008-04-07, 39.79 , 38.86 , 40.32 , 39.25 ,149912,595411039
2008-04-08, 38.96 , 38.68 , 40.00 , 40.00 ,165316,655228864
2008-04-09, 39.78 , 39.61 , 40.48 , 40.02 ,216680,868256089
2008-04-10, 40.09 , 39.51 , 40.40 , 40.17 ,184878,739345293
2008-04-11, 39.80 , 39.16 , 39.94 , 39.28 ,141812,561256086
2008-04-14, 39.00 , 38.51 , 42.25 , 41.49 ,548232,2241077190
2008-04-15, 41.30 , 40.87 , 42.35 , 41.97 ,376438,1571689042
2008-04-16, 42.04 , 41.12 , 42.50 , 41.70 ,386976,1614078675
2008-04-17, 41.33 , 41.26 , 42.55 , 42.55 ,318964,1341752562
2008-04-18, 42.75 , 41.96 , 42.97 , 42.65 ,269278,1148125840
2008-04-22, 43.25 , 42.88 , 43.72 , 43.10 ,247028,1070025976
2008-04-23, 43.15 , 42.38 , 43.50 , 42.51 ,204784,875309258
2008-04-24, 42.45 , 41.30 , 42.64 , 41.60 ,366538,1533535293
2008-04-25, 42.00 , 41.47 , 42.44 , 42.15 ,243198,1019802737
2008-04-28, 42.58 , 42.15 , 42.96 , 42.59 ,190323,810637900
2008-04-29, 42.56 , 40.72 , 42.56 , 40.90 ,235979,978736399
2008-04-30, 41.35 , 40.50 , 43.20 , 42.20 ,378084,1572573703
2008-05-02, 44.20 , 42.45 , 44.20 , 43.00 ,268618,1157258809
2008-05-05, 43.20 , 42.81 , 44.00 , 43.85 ,223619,975656653
2008-05-06, 43.64 , 43.40 , 45.00 , 45.00 ,230051,1023727674
2008-05-07, 45.10 , 44.39 , 45.60 , 44.85 ,260745,1174461868
2008-05-08, 45.00 , 44.30 , 45.40 , 45.00 ,178626,801646753
2008-05-09, 44.75 , 44.35 , 45.67 , 45.67 ,170956,768626790
2008-05-12, 45.78 , 45.02 , 46.05 , 45.75 ,228177,1042300278
2008-05-13, 47.18 , 46.60 , 47.19 , 46.95 ,289635,1357749059
2008-05-14, 46.80 , 46.21 , 47.20 , 46.30 ,241971,1134086995
2008-05-15, 46.50 , 46.08 , 47.12 , 47.11 ,240046,1119193536
2008-05-16, 47.53 , 47.32 , 48.20 , 48.15 ,195330,933006837
2008-05-19, 48.29 , 48.16 , 50.09 , 50.00 ,319019,1569299143
2008-05-20, 49.49 , 49.30 , 51.66 , 51.66 ,280764,1414054181
2008-05-21, 52.58 , 51.95 , 53.68 , 52.51 ,342596,1814082367
2008-05-23, 51.11 , 50.10 , 51.40 , 50.56 ,263996,1336004382
2008-05-26, 51.01 , 50.75 , 51.85 , 51.57 ,87669,451381194
2008-05-27, 51.68 , 49.45 , 51.70 , 49.90 ,269018,1347431547
2008-05-28, 50.00 , 48.90 , 51.00 , 50.99 ,232916,1169837153
2008-05-29, 50.84 , 49.34 , 51.51 , 49.34 ,298871,1509661516
2008-05-30, 50.97 , 49.00 , 50.97 , 49.00 ,236142,1176254776
2008-06-02, 48.90 , 48.30 , 50.27 , 49.79 ,194622,963052493
2008-06-03, 49.70 , 47.37 , 49.70 , 47.45 ,270759,1301989121
2008-06-04, 47.00 , 44.87 , 47.05 , 45.28 ,401270,1837279156
2008-06-05, 45.97 , 45.37 , 47.56 , 47.56 ,242995,1130139225
2008-06-06, 47.95 , 47.00 , 49.10 , 47.59 ,300252,1442229621
2008-06-09, 48.00 , 46.72 , 48.10 , 47.48 ,128647,610253953
2008-06-10, 46.80 , 45.21 , 47.30 , 46.00 ,224806,1036261716
2008-06-11, 46.00 , 45.40 , 46.57 , 45.40 ,225036,1033266854
2008-06-12, 45.70 , 44.80 , 46.30 , 45.18 ,262851,1192984899
2008-06-13, 45.89 , 45.46 , 46.35 , 45.90 ,228918,1050770967
2008-06-16, 46.04 , 45.70 , 46.60 , 45.80 ,277435,1279275084
2008-06-17, 46.35 , 45.81 , 46.60 , 46.25 ,210411,971885864
2008-06-18, 45.87 , 45.04 , 46.10 , 45.40 ,196332,892118035
2008-06-19, 45.41 , 43.70 , 45.45 , 43.90 ,271806,1202876857
2008-06-20, 43.90 , 43.00 , 44.30 , 43.13 ,191806,835535649
2008-06-23, 43.30 , 43.14 , 44.40 , 43.89 ,133005,584874704
2008-06-24, 43.66 , 43.55 , 44.70 , 43.77 ,159551,702796345
2008-06-25, 44.11 , 43.15 , 45.30 , 44.95 ,256485,1131420275
2008-06-26, 44.00 , 43.75 , 45.19 , 44.90 ,179865,803507604
2008-06-27, 45.09 , 44.45 , 45.50 , 45.30 ,155762,702937968
2008-06-30, 45.70 , 45.52 , 46.62 , 46.21 ,169997,785697200
2008-07-01, 45.50 , 45.38 , 46.77 , 46.09 ,184038,849873716
2008-07-02, 46.34 , 43.80 , 46.84 , 43.98 ,213584,968152648
2008-07-03, 44.26 , 42.28 , 44.70 , 42.55 ,170181,735791837
2008-07-04, 42.45 , 42.00 , 43.49 , 43.20 ,93163,401660841
2008-07-07, 43.79 , 41.81 , 43.97 , 41.93 ,180571,773313182
2008-07-08, 41.60 , 40.00 , 41.93 , 40.61 ,255286,1036476107
2008-07-10, 39.89 , 39.02 , 40.45 , 40.05 ,296781,1182578599
2008-07-11, 40.15 , 39.99 , 41.26 , 40.60 ,208790,849730750
2008-07-14, 41.10 , 40.70 , 41.19 , 40.88 ,131508,538718452
2008-07-15, 40.50 , 39.56 , 40.95 , 40.55 ,209675,844188664
2008-07-16, 40.99 , 39.21 , 40.99 , 39.77 ,216667,861667089
2008-07-17, 39.99 , 37.50 , 40.18 , 37.80 ,332289,1278112434
2008-07-18, 37.99 , 37.40 , 38.75 , 38.20 ,161761,617486430
2008-07-21, 38.70 , 38.07 , 38.98 , 38.76 ,200251,774919553
2008-07-22, 38.20 , 37.20 , 38.49 , 37.43 ,179762,678240893
2008-07-23, 37.38 , 36.04 , 37.60 , 36.10 ,263738,968320077
2008-07-24, 36.10 , 34.37 , 36.50 , 34.50 ,296623,1043474515
2008-07-25, 34.40 , 33.59 , 34.93 , 34.50 ,199986,685328506
2008-07-28, 35.17 , 34.85 , 35.78 , 34.85 ,164978,582400623
2008-07-29, 35.16 , 34.24 , 35.60 , 34.80 ,198392,688211952
2008-07-30, 35.10 , 34.71 , 36.58 , 36.50 ,283526,1008389638
2008-07-31, 36.20 , 35.53 , 36.88 , 35.90 ,166590,601402795
2008-08-01, 35.75 , 34.38 , 36.07 , 34.51 ,144081,507084624
2008-08-04, 34.50 , 32.56 , 34.55 , 32.89 ,199845,665442132
2008-08-05, 33.30 , 31.80 , 33.43 , 32.20 ,239975,783691381
2008-08-06, 32.88 , 32.40 , 33.88 , 33.30 ,192068,638385713
2008-08-07, 33.99 , 33.39 , 34.88 , 33.86 ,226726,773882210
2008-08-08, 33.65 , 32.76 , 34.15 , 33.55 ,164097,549955011
2008-08-11, 33.80 , 32.35 , 34.12 , 32.70 ,161588,535306564
2008-08-12, 33.20 , 32.79 , 33.80 , 33.07 ,207057,688679111
2008-08-13, 32.30 , 32.03 , 34.41 , 33.75 ,294801,986306787
2008-08-14, 34.20 , 33.01 , 34.20 , 33.44 ,162786,546348202
2008-08-15, 32.99 , 32.30 , 33.25 , 32.67 ,139092,453428136
2008-08-18, 32.80 , 31.56 , 33.14 , 31.68 ,181231,585590092
2008-08-19, 31.00 , 30.81 , 33.20 , 32.63 ,213799,692474769
2008-08-20, 33.25 , 33.06 , 34.40 , 34.21 ,220641,745343610
2008-08-21, 34.50 , 34.50 , 35.70 , 35.39 ,192009,677951819
2008-08-22, 35.39 , 34.46 , 35.92 , 35.29 ,146006,513769022
2008-08-25, 34.80 , 33.81 , 35.19 , 33.81 ,136129,467166104
2008-08-26, 33.75 , 33.47 , 34.71 , 34.19 ,152577,522730952
