Data,Open,Low,High,Close,Qt Total Tít,VolTot
02/01/2008, 59.25 , 57.55 , 59.29 , 57.90 ,12073,70305380
03/01/2008, 58.06 , 57.89 , 58.86 , 58.20 ,11366,66242335
04/01/2008, 58.70 , 55.70 , 59.00 , 56.10 ,21178,120143048
07/01/2008, 56.48 , 53.68 , 56.70 , 55.10 ,25129,138806111
08/01/2008, 56.00 , 55.95 , 57.12 , 56.20 ,25374,143155491
09/01/2008, 55.51 , 54.45 , 56.19 , 55.60 ,54562,302817827
10/01/2008, 55.90 , 55.40 , 57.01 , 56.81 ,47668,268749226
11/01/2008, 56.90 , 56.06 , 57.20 , 56.10 ,36029,203798484
14/01/2008, 56.10 , 55.53 , 57.00 , 56.00 ,56890,318599039
15/01/2008, 55.38 , 53.51 , 55.89 , 53.90 ,27723,151119751
16/01/2008, 52.80 , 49.88 , 53.90 , 51.41 ,51849,269640592
17/01/2008, 51.50 , 49.50 , 53.61 , 51.05 ,50947,263248868
18/01/2008, 52.28 , 49.90 , 53.30 , 51.59 ,59148,304844910
21/01/2008, 48.00 , 46.22 , 48.95 , 46.22 ,55093,262038578
22/01/2008, 47.10 , 45.50 , 49.50 , 47.60 ,63198,300888747
23/01/2008, 46.70 , 43.85 , 47.17 , 45.00 ,44079,199889162
24/01/2008, 49.00 , 47.70 , 50.90 , 50.12 ,48624,240511067
28/01/2008, 49.01 , 47.49 , 50.25 , 50.25 ,48650,237911420
29/01/2008, 51.11 , 50.00 , 51.96 , 51.08 ,39029,198932670
30/01/2008, 50.85 , 50.20 , 52.39 , 52.39 ,17016,87135143
31/01/2008, 51.40 , 49.01 , 52.10 , 51.83 ,33668,171465242
01/02/2008, 53.61 , 52.99 , 55.00 , 54.90 ,39751,215663573
06/02/2008, 53.17 , 52.81 , 54.70 , 53.11 ,16942,90842361
07/02/2008, 52.46 , 51.41 , 53.43 , 52.40 ,30319,159701562
08/02/2008, 53.10 , 52.52 , 54.27 , 53.50 ,18539,99080989
11/02/2008, 53.40 , 53.40 , 55.55 , 55.50 ,18767,102482673
12/02/2008, 56.50 , 55.91 , 57.80 , 55.91 ,23018,131026139
13/02/2008, 56.21 , 55.46 , 56.99 , 56.79 ,31062,175227267
14/02/2008, 57.30 , 56.30 , 57.48 , 56.31 ,27977,158845576
15/02/2008, 55.89 , 54.36 , 55.89 , 55.22 ,16854,92946148
18/02/2008, 58.99 , 57.53 , 58.99 , 57.59 ,18416,106678908
19/02/2008, 58.50 , 57.85 , 59.40 , 57.91 ,50384,295952199
20/02/2008, 57.31 , 56.94 , 60.01 , 60.00 ,43692,257609943
21/02/2008, 60.99 , 59.11 , 61.34 , 59.80 ,33215,199851768
22/02/2008, 60.30 , 58.59 , 60.73 , 60.70 ,23849,142195753
25/02/2008, 60.69 , 60.00 , 61.17 , 60.70 ,20913,126928185
26/02/2008, 60.30 , 59.80 , 61.25 , 60.70 ,24149,146683794
27/02/2008, 60.40 , 60.25 , 61.53 , 60.51 ,30200,183525975
28/02/2008, 60.95 , 60.95 , 62.65 , 62.50 ,33598,208981193
29/02/2008, 61.39 , 58.66 , 61.90 , 58.66 ,50848,303445189
03/03/2008, 58.85 , 57.25 , 59.35 , 58.30 ,26539,154619087
04/03/2008, 58.15 , 56.38 , 58.80 , 57.06 ,29561,169384306
05/03/2008, 57.80 , 57.60 , 59.25 , 58.77 ,32809,192176094
06/03/2008, 58.50 , 57.23 , 59.06 , 57.23 ,27994,162413716
07/03/2008, 56.70 , 55.66 , 57.50 , 56.02 ,21911,123620296
10/03/2008, 55.69 , 53.68 , 55.99 , 54.50 ,28578,156274509
11/03/2008, 55.60 , 54.87 , 56.74 , 56.74 ,34885,194566925
12/03/2008, 56.80 , 56.78 , 58.39 , 57.30 ,24105,139097450
13/03/2008, 56.49 , 55.50 , 58.35 , 57.60 ,29745,169043088
14/03/2008, 58.78 , 56.65 , 58.90 , 58.90 ,38328,222136271
17/03/2008, 56.70 , 54.54 , 57.11 , 55.33 ,35775,199799000
18/03/2008, 56.82 , 55.60 , 57.16 , 57.08 ,16472,93252429
19/03/2008, 56.60 , 53.16 , 56.96 , 53.16 ,30067,164533429
20/03/2008, 52.80 , 51.90 , 53.91 , 52.73 ,21360,112888773
24/03/2008, 53.71 , 53.60 , 56.15 , 55.45 ,17886,98932015
25/03/2008, 56.25 , 55.90 , 57.65 , 57.02 ,14152,80501271
26/03/2008, 60.33 , 58.98 , 60.54 , 59.51 ,22607,134817888
27/03/2008, 60.20 , 59.28 , 60.90 , 59.75 ,31234,187931921
28/03/2008, 59.80 , 58.80 , 60.19 , 59.80 ,14481,86454083
31/03/2008, 59.39 , 59.33 , 60.93 , 60.50 ,16711,100704027
01/04/2008, 60.50 , 60.00 , 61.97 , 61.75 ,20051,122191141
02/04/2008, 61.81 , 60.42 , 62.02 , 61.10 ,22998,141209770
03/04/2008, 60.90 , 60.22 , 62.44 , 61.87 ,20753,128481446
04/04/2008, 61.70 , 61.26 , 62.93 , 62.51 ,24506,152848022
07/04/2008, 63.00 , 61.97 , 65.12 , 62.41 ,39337,251244999
08/04/2008, 61.94 , 61.54 , 63.93 , 62.70 ,31803,200192915
09/04/2008, 62.60 , 60.91 , 63.00 , 61.60 ,28616,176858989
10/04/2008, 61.35 , 59.90 , 61.49 , 61.21 ,25112,152873965
11/04/2008, 60.00 , 59.99 , 61.30 , 60.11 ,15647,94832589
14/04/2008, 59.89 , 58.93 , 59.89 , 59.32 ,14573,86570061
15/04/2008, 59.70 , 59.70 , 61.00 , 60.77 ,15001,90861088
16/04/2008, 61.60 , 61.29 , 63.15 , 62.61 ,21551,134020608
17/04/2008, 62.20 , 61.66 , 63.20 , 62.65 ,17278,108129263
18/04/2008, 62.90 , 61.91 , 63.30 , 63.20 ,19702,123717038
22/04/2008, 64.50 , 63.80 , 66.10 , 65.26 ,42259,275897687
23/04/2008, 65.60 , 64.39 , 65.70 , 64.80 ,23914,155727421
24/04/2008, 64.70 , 62.25 , 65.28 , 62.25 ,38056,240719162
25/04/2008, 61.35 , 61.00 , 63.30 , 63.00 ,32225,200562291
28/04/2008, 63.30 , 63.04 , 64.60 , 63.86 ,12452,79823752
29/04/2008, 64.20 , 62.30 , 64.20 , 62.30 ,12077,76067646
30/04/2008, 62.30 , 62.30 , 65.99 , 65.64 ,28421,182524764
02/05/2008, 65.49 , 64.74 , 66.40 , 65.40 ,32578,213572320
05/05/2008, 66.21 , 65.70 , 67.25 , 66.60 ,25631,171091605
06/05/2008, 66.28 , 66.17 , 67.99 , 67.82 ,23567,159081444
07/05/2008, 67.80 , 65.89 , 68.20 , 65.95 ,21308,143260318
08/05/2008, 66.70 , 66.60 , 67.63 , 66.74 ,22185,148985140
09/05/2008, 66.40 , 65.92 , 67.00 , 66.41 ,13492,89530505
12/05/2008, 66.71 , 65.92 , 67.51 , 67.31 ,10214,68297830
13/05/2008, 67.70 , 66.94 , 68.02 , 67.50 ,17880,120817764
14/05/2008, 68.50 , 67.26 , 69.59 , 67.26 ,26197,179495267
15/05/2008, 67.80 , 67.50 , 69.74 , 69.60 ,19092,131551676
16/05/2008, 70.20 , 70.20 , 72.09 , 72.09 ,20718,147271479
19/05/2008, 72.30 , 71.00 , 72.65 , 71.50 ,22663,162995188
20/05/2008, 70.40 , 69.30 , 71.66 , 71.50 ,19080,134732845
21/05/2008, 71.50 , 69.20 , 71.58 , 69.20 ,19182,134921835
